candidate_accession	representative_accession
XP_017658736.1	XP_017658736.1
XP_017661010.1	XP_017661010.1
XP_017661012.1	XP_017661012.1
XP_017661678.1	XP_017661678.1
XP_017661682.1	XP_017661682.1
XP_017661683.1	XP_017661683.1
XP_017663775.1	XP_017663775.1
XP_017663777.1	XP_017663777.1
XP_017670385.1	XP_017670385.1
XP_017671604.1	XP_017671604.1
XP_017675746.1	XP_017675746.1
XP_017715414.1	XP_017715414.1
XP_017718908.1	XP_017718908.1
XP_017718909.1	XP_017718909.1
XP_017718910.1	XP_017718910.1
XP_017725188.1	XP_017725188.1
XP_017730087.1	XP_017730087.1
XP_017739545.1	XP_017739545.1
XP_017739547.1	XP_017739547.1
XP_017760834.1	XP_017760834.1
XP_017761521.1	XP_017761521.1
XP_017763725.1	XP_017763725.1
XP_017765300.1	XP_017765300.1
XP_017772001.1	XP_017772001.1
XP_017776732.1	XP_017776732.1
XP_017776733.1	XP_017776733.1
XP_017779095.1	XP_017779095.1
XP_017786162.1	XP_017786162.1
XP_017791040.1	XP_017791040.1
XP_017792713.1	XP_017792713.1
XP_017793446.1	XP_017793446.1
XP_017797425.1	XP_017797425.1
XP_017798528.1	XP_017798528.1
XP_017828682.2	XP_017828682.2
XP_017842706.1	XP_017842706.1
XP_017851742.1	XP_017851742.1
XP_017852902.1	XP_017852902.1
XP_017856721.1	XP_017856721.1
XP_017864348.1	XP_017864348.1
XP_017864349.1	XP_017864349.1
XP_017864350.1	XP_017864350.1
XP_017869898.1	XP_017869898.1
XP_017871029.1	XP_017871029.1
XP_017872212.1	XP_017872212.1
XP_017884915.2	XP_017884915.2
XP_017886248.1	XP_017886248.1
XP_017888999.1	XP_017888999.1
XP_017890571.1	XP_017890571.1
XP_017890578.1	XP_017890578.1
XP_017891882.1	XP_017891882.1
XP_017898183.1	XP_017898183.1
XP_017899670.1	XP_017899670.1
XP_017899679.1	XP_017899679.1
XP_017907943.1	XP_017907943.1
XP_017917437.1	XP_017917437.1
XP_017917438.1	XP_017917438.1
XP_017917439.1	XP_017917439.1
XP_017921099.1	XP_017921099.1
XP_017921100.1	XP_017921100.1
XP_017925938.1	XP_017925938.1
XP_017925939.1	XP_017925939.1
XP_017927644.1	XP_017927644.1
XP_017927646.1	XP_017927646.1
XP_017931315.1	XP_017931315.1
XP_017940436.1	XP_017940436.1
XP_017944920.1	XP_017944920.1
XP_017948967.1	XP_017948967.1
XP_017957939.1	XP_017957939.1
XP_017957940.1	XP_017957940.1
XP_017957941.1	XP_017957941.1
XP_017963451.1	XP_017963451.1
XP_017963555.1	XP_017963555.1
XP_017963556.1	XP_017963556.1
XP_017978416.1	XP_017978416.1
XP_017978436.1	XP_017978436.1
XP_017978443.1	XP_017978443.1
XP_017987315.1	XP_017987315.1
XP_017992978.1	XP_017992978.1
XP_017993958.1	XP_017993958.1
XP_017994817.1	XP_017994817.1
XP_018001635.1	XP_018001635.1
XP_018003887.1	XP_018003887.1
XP_018010113.1	XP_018010113.1
XP_018010132.2	XP_018010132.2
XP_018012354.1	XP_018012354.1
XP_018013072.2	XP_018013072.2
XP_018017775.1	XP_018017775.1
XP_018029550.1	XP_018029550.1
XP_018038692.1	XP_018038692.1
XP_018048473.1	XP_018048473.1
XP_018053268.1	XP_018053268.1
XP_018055976.1	XP_018055976.1
XP_018058189.1	XP_018058189.1
XP_018060394.1	XP_018060394.1
XP_018063636.1	XP_018063636.1
XP_018068516.1	XP_018068516.1
XP_018101780.1	XP_018101780.1
XP_018113141.2	XP_018113141.2
XP_018113269.1	XP_018113269.1
XP_018113271.1	XP_018113271.1
XP_018113272.1	XP_018113272.1
XP_018113273.1	XP_018113273.1
XP_018113920.1	XP_018113920.1
XP_018113924.1	XP_018113924.1
XP_018113925.1	XP_018113925.1
XP_018113926.1	XP_018113926.1
XP_018114578.1	XP_018114578.1
XP_018114592.1	XP_018114592.1
XP_018115914.1	XP_018115914.1
XP_018126351.1	XP_018126351.1
XP_018133237.1	XP_018133237.1
XP_018137934.1	XP_018137934.1
XP_018139950.1	XP_018139950.1
XP_018157114.1	XP_018157114.1
XP_018161174.1	XP_018161174.1
XP_018175717.1	XP_018175717.1
XP_018178486.1	XP_018178486.1
XP_018186747.1	XP_018186747.1
XP_018188437.1	XP_018188437.1
XP_018188484.1	XP_018188484.1
XP_018210927.1	XP_018210927.1
XP_018219598.1	XP_018219598.1
XP_018221680.1	XP_018221680.1
XP_018224320.1	XP_018224320.1
XP_018225749.1	XP_018225749.1
XP_018227080.1	XP_018227080.1
XP_018228945.1	XP_018228945.1
XP_018229249.1	XP_018229249.1
XP_018229534.1	XP_018229534.1
XP_018233830.1	XP_018233830.1
XP_018249527.1	XP_018249527.1
XP_018262397.1	XP_018262397.1
XP_018265743.1	XP_018265743.1
XP_018266586.1	XP_018266586.1
XP_018268695.1	XP_018268695.1
XP_018269738.1	XP_018269738.1
XP_018277156.1	XP_018277156.1
XP_018278398.1	XP_018278398.1
XP_018278525.1	XP_018278525.1
XP_018283578.1	XP_018283578.1
XP_018287007.1	XP_018287007.1
XP_018289267.1	XP_018289267.1
XP_018294168.1	XP_018294168.1
XP_018302047.1	XP_018302047.1
XP_018302048.1	XP_018302048.1
XP_018303849.1	XP_018303849.1
XP_018305094.1	XP_018305094.1
XP_018305405.1	XP_018305405.1
XP_018314162.1	XP_018314162.1
XP_018319863.2	XP_018319863.2
XP_018319864.2	XP_018319864.2
XP_018323170.1	XP_018323170.1
XP_018323171.1	XP_018323171.1
XP_018323172.1	XP_018323172.1
XP_018326793.1	XP_018326793.1
XP_018347661.1	XP_018347661.1
XP_018350965.1	XP_018350965.1
XP_018353705.1	XP_018353705.1
XP_018353812.1	XP_018353812.1
XP_018354148.1	XP_018354148.1
XP_018362655.1	XP_018362655.1
XP_018369518.1	XP_018369518.1
XP_018373876.1	XP_018373876.1
XP_018376440.1	XP_018376440.1
XP_018376895.1	XP_018376895.1
XP_018389066.1	XP_018389066.1
XP_018389204.1	XP_018389204.1
XP_018391559.1	XP_018391559.1
XP_018392248.1	XP_018392248.1
XP_018392249.1	XP_018392249.1
XP_018395723.1	XP_018395723.1
XP_018396849.1	XP_018396849.1
XP_018397182.1	XP_018397182.1
XP_018407169.1	XP_018407169.1
XP_018407990.1	XP_018407990.1
XP_018407991.1	XP_018407991.1
XP_018414230.1	XP_018414230.1
XP_018420817.1	XP_018420817.1
XP_018421251.1	XP_018421251.1
XP_018421252.1	XP_018421252.1
XP_018424619.1	XP_018424619.1
XP_018425750.1	XP_018425750.1
XP_018436492.1	XP_018436492.1
XP_018436494.1	XP_018436494.1
XP_018455906.1	XP_018455906.1
XP_018483677.1	XP_018483677.1
XP_018484051.2	XP_018484051.2
XP_018489671.1	XP_018489671.1
XP_018520460.1	XP_018520460.1
XP_018522432.1	XP_018522432.1
XP_018524047.1	XP_018524047.1
XP_018524050.1	XP_018524050.1
XP_018528356.1	XP_018528356.1
XP_018540841.1	XP_018540841.1
XP_018540850.1	XP_018540850.1
XP_018540861.1	XP_018540861.1
XP_018545836.1	XP_018545836.1
XP_018553810.1	XP_018553810.1
XP_018556922.1	XP_018556922.1
XP_018556923.1	XP_018556923.1
XP_018556925.1	XP_018556925.1
XP_018562851.1	XP_018562851.1
XP_018567190.1	XP_018567190.1
XP_018567191.1	XP_018567191.1
XP_018570409.1	XP_018570409.1
XP_018570410.1	XP_018570410.1
XP_018572666.1	XP_018572666.1
XP_018579238.1	XP_018579238.1
XP_018582617.2	XP_018582617.2
XP_018592399.2	XP_018592399.2
XP_018596853.1	XP_018596853.1
XP_018597688.1	XP_018597688.1
XP_018597689.1	XP_018597689.1
XP_018605180.2	XP_018605180.2
XP_018609174.1	XP_018609174.1
XP_018614973.2	XP_018614973.2
XP_018614974.2	XP_018614974.2
XP_018618215.2	XP_018618215.2
XP_018635135.1	XP_018635135.1
XP_018636990.1	XP_018636990.1
XP_018640119.1	XP_018640119.1
XP_018640767.1	XP_018640767.1
XP_018641540.1	XP_018641540.1
XP_018646614.1	XP_018646614.1
XP_018649388.1	XP_018649388.1
XP_018652643.1	XP_018652643.1
XP_018654326.1	XP_018654326.1
XP_018656685.1	XP_018656685.1
XP_018667665.2	XP_018667665.2
XP_018676943.2	XP_018676943.2
XP_018676944.2	XP_018676944.2
XP_018677018.2	XP_018677018.2
XP_018677022.2	XP_018677022.2
XP_018683475.2	XP_018683475.2
XP_018688071.1	XP_018688071.1
XP_018690333.1	XP_018690333.1
XP_018693349.1	XP_018693349.1
XP_018706632.1	XP_018706632.1
XP_018706989.1	XP_018706989.1
XP_018713496.1	XP_018713496.1
XP_018737131.1	XP_018737131.1
XP_018738703.1	XP_018738703.1
XP_018741965.1	XP_018741965.1
XP_018742337.1	XP_018742337.1
XP_018757700.1	XP_018757700.1
XP_018762788.2	XP_018762788.2
XP_018762792.2	XP_018762792.2
XP_018762799.2	XP_018762799.2
XP_018785712.1	XP_018785712.1
XP_018785742.1	XP_018785742.1
XP_018785743.1	XP_018785743.1
XP_018789881.1	XP_018789881.1
XP_018792394.1	XP_018792394.1
XP_018794654.1	XP_018794654.1
XP_018794655.1	XP_018794655.1
XP_018799270.1	XP_018799270.1
XP_018808624.2	XP_018808624.2
XP_018808712.2	XP_018808712.2
XP_018808719.2	XP_018808719.2
XP_018808727.2	XP_018808727.2
XP_018808732.2	XP_018808732.2
XP_018810500.1	XP_018810500.1
XP_018810503.1	XP_018810503.1
XP_018821867.1	XP_018821867.1
XP_018851704.1	XP_018851704.1
XP_018868374.1	XP_018868374.1
XP_018869108.2	XP_018869108.2
XP_018891436.2	XP_018891436.2
XP_018899017.2	XP_018899017.2
XP_018903271.2	XP_018903271.2
XP_018909802.2	XP_018909802.2
XP_018914226.1	XP_018914226.1
XP_018916601.1	XP_018916601.1
XP_018917437.2	XP_018917437.2
XP_018945551.1	XP_018945551.1
XP_018945552.1	XP_018945552.1
XP_018986758.1	XP_018986758.1
XP_018990988.1	XP_018990988.1
XP_018991457.1	XP_018991457.1
XP_018996018.1	XP_018996018.1
XP_019002627.1	XP_019002627.1
XP_019004252.1	XP_019004252.1
XP_019005402.1	XP_019005402.1
XP_019008745.1	XP_019008745.1
XP_019012738.1	XP_019012738.1
XP_019014401.2	XP_019014401.2
XP_019014413.1	XP_019014413.1
XP_019017994.1	XP_019017994.1
XP_019020896.1	XP_019020896.1
XP_019024883.1	XP_019024883.1
XP_019025297.1	XP_019025297.1
XP_019026818.1	XP_019026818.1
XP_019031677.1	XP_019031677.1
XP_019033200.1	XP_019033200.1
XP_019033913.1	XP_019033913.1
XP_019041598.1	XP_019041598.1
XP_019045670.1	XP_019045670.1
XP_019047450.1	XP_019047450.1
XP_019048623.1	XP_019048623.1
XP_019053714.1	XP_019053714.1
XP_019053717.1	XP_019053717.1
XP_019053718.1	XP_019053718.1
XP_019053719.1	XP_019053719.1
XP_019053720.1	XP_019053720.1
XP_019053721.1	XP_019053721.1
XP_019053722.1	XP_019053722.1
XP_019057711.1	XP_019057711.1
XP_019059767.1	XP_019059767.1
XP_019060284.1	XP_019060284.1
XP_019066635.2	XP_019066635.2
XP_019099841.1	XP_019099841.1
XP_019108451.2	XP_019108451.2
XP_019110404.1	XP_019110404.1
XP_019121882.2	XP_019121882.2
XP_019121883.2	XP_019121883.2
XP_019131165.2	XP_019131165.2
XP_019138765.1	XP_019138765.1
XP_019147543.1	XP_019147543.1
XP_019151201.1	XP_019151201.1
XP_019153525.1	XP_019153525.1
XP_019157274.1	XP_019157274.1
XP_019159469.1	XP_019159469.1
XP_019168479.1	XP_019168479.1
XP_019200492.1	XP_019200492.1
XP_019200494.1	XP_019200494.1
XP_019200495.1	XP_019200495.1
XP_019206347.1	XP_019206347.1
XP_019221410.1	XP_019221410.1
XP_019221412.1	XP_019221412.1
XP_019221413.1	XP_019221413.1
XP_019238250.1	XP_019238250.1
XP_019251690.1	XP_019251690.1
XP_019253174.1	XP_019253174.1
XP_019253175.1	XP_019253175.1
XP_019253176.1	XP_019253176.1
XP_019253270.1	XP_019253270.1
XP_019253271.1	XP_019253271.1
XP_019253272.1	XP_019253272.1
XP_019261293.1	XP_019261293.1
XP_019270221.1	XP_019270221.1
XP_019279037.2	XP_019279037.2
XP_019279044.2	XP_019279044.2
XP_019279045.2	XP_019279045.2
XP_019304818.2	XP_019304818.2
XP_019304821.2	XP_019304821.2
XP_019304822.2	XP_019304822.2
XP_019304823.2	XP_019304823.2
XP_019304824.2	XP_019304824.2
XP_019304826.2	XP_019304826.2
XP_019304827.2	XP_019304827.2
XP_019304828.2	XP_019304828.2
XP_019304829.2	XP_019304829.2
XP_019304830.2	XP_019304830.2
XP_019311532.2	XP_019311532.2
XP_019311534.2	XP_019311534.2
XP_019311535.2	XP_019311535.2
XP_019320782.1	XP_019320782.1
XP_019334762.2	XP_019334762.2
XP_019334764.1	XP_019334764.1
XP_019337651.1	XP_019337651.1
XP_019346650.2	XP_019346650.2
XP_019346651.2	XP_019346651.2
XP_019346652.2	XP_019346652.2
XP_019346653.2	XP_019346653.2
XP_019356838.1	XP_019356838.1
XP_019356845.1	XP_019356845.1
XP_019356846.1	XP_019356846.1
XP_019361233.1	XP_019361233.1
XP_019363768.1	XP_019363768.1
XP_019372911.1	XP_019372911.1
XP_019372912.1	XP_019372912.1
XP_019372913.1	XP_019372913.1
XP_019373285.1	XP_019373285.1
XP_019373287.1	XP_019373287.1
XP_019373288.1	XP_019373288.1
XP_019376553.1	XP_019376553.1
XP_019376560.1	XP_019376560.1
XP_019376568.1	XP_019376568.1
XP_019376575.1	XP_019376575.1
XP_019376582.1	XP_019376582.1
XP_019376590.1	XP_019376590.1
XP_019386883.1	XP_019386883.1
XP_019386974.1	XP_019386974.1
XP_019386982.1	XP_019386982.1
XP_019387736.1	XP_019387736.1
XP_019387738.1	XP_019387738.1
XP_019387739.1	XP_019387739.1
XP_019391291.1	XP_019391291.1
XP_019396841.1	XP_019396841.1
XP_019396850.1	XP_019396850.1
XP_019396859.1	XP_019396859.1
XP_019396870.1	XP_019396870.1
XP_019396879.1	XP_019396879.1
XP_019396887.1	XP_019396887.1
XP_019396895.1	XP_019396895.1
XP_019410577.1	XP_019410577.1
XP_019410578.1	XP_019410578.1
XP_019410579.1	XP_019410579.1
XP_019415461.1	XP_019415461.1
XP_019420120.1	XP_019420120.1
XP_019429291.1	XP_019429291.1
XP_019439439.1	XP_019439439.1
XP_019439443.1	XP_019439443.1
XP_019447339.1	XP_019447339.1
XP_019447341.1	XP_019447341.1
XP_019481048.1	XP_019481048.1
XP_019481052.1	XP_019481052.1
XP_019481053.1	XP_019481053.1
XP_019481056.1	XP_019481056.1
XP_019481476.1	XP_019481476.1
XP_019487184.1	XP_019487184.1
XP_019487185.1	XP_019487185.1
XP_019496607.1	XP_019496607.1
XP_019496608.1	XP_019496608.1
XP_019496609.1	XP_019496609.1
XP_019496610.1	XP_019496610.1
XP_019496612.1	XP_019496612.1
XP_019496616.1	XP_019496616.1
XP_019496617.1	XP_019496617.1
XP_019499035.1	XP_019499035.1
XP_019499044.1	XP_019499044.1
XP_019501162.1	XP_019501162.1
XP_019509919.1	XP_019509919.1
XP_019509920.1	XP_019509920.1
XP_019536486.3	XP_019536486.3
XP_019557128.3	XP_019557128.3
XP_019569486.2	XP_019569486.2
XP_019583744.2	XP_019583744.2
XP_019583750.2	XP_019583750.2
XP_019587090.2	XP_019587090.2
XP_019598406.2	XP_019598406.2
XP_019598407.2	XP_019598407.2
XP_019598408.2	XP_019598408.2
XP_019598409.2	XP_019598409.2
XP_019598410.2	XP_019598410.2
XP_019598411.2	XP_019598411.2
XP_019598413.2	XP_019598413.2
XP_019598414.2	XP_019598414.2
XP_019605677.2	XP_019605677.2
XP_019605679.2	XP_019605679.2
XP_019605680.2	XP_019605680.2
XP_019615300.1	XP_019615300.1
XP_019630198.1	XP_019630198.1
XP_019630200.1	XP_019630200.1
XP_019638296.1	XP_019638296.1
XP_019645255.1	XP_019645255.1
XP_019645575.1	XP_019645575.1
XP_019645576.1	XP_019645576.1
XP_019645577.1	XP_019645577.1
XP_019645578.1	XP_019645578.1
XP_019645579.1	XP_019645579.1
XP_019651944.1	XP_019651944.1
XP_019659546.1	XP_019659546.1
XP_019671391.2	XP_019671391.2
XP_019671397.2	XP_019671397.2
XP_019706880.1	XP_019706880.1
XP_019713734.1	XP_019713734.1
XP_019722325.1	XP_019722325.1
XP_019722326.1	XP_019722326.1
XP_019722455.1	XP_019722455.1
XP_019722456.1	XP_019722456.1
XP_019722528.1	XP_019722528.1
XP_019722530.1	XP_019722530.1
XP_019722531.1	XP_019722531.1
XP_019722532.1	XP_019722532.1
XP_019722725.1	XP_019722725.1
XP_019724260.1	XP_019724260.1
XP_019735648.1	XP_019735648.1
XP_019736803.1	XP_019736803.1
XP_019736808.1	XP_019736808.1
XP_019742494.1	XP_019742494.1
XP_019753337.2	XP_019753337.2
XP_019772068.1	XP_019772068.1
XP_019772069.1	XP_019772069.1
XP_019772914.1	XP_019772914.1
XP_019788044.1	XP_019788044.1
XP_019789141.2	XP_019789141.2
XP_019793350.1	XP_019793350.1
XP_019793352.1	XP_019793352.1
XP_019793353.1	XP_019793353.1
XP_019793354.1	XP_019793354.1
XP_019793355.1	XP_019793355.1
XP_019793356.1	XP_019793356.1
XP_019793357.1	XP_019793357.1
XP_019793358.1	XP_019793358.1
XP_019795951.1	XP_019795951.1
XP_019795954.1	XP_019795954.1
XP_019795955.1	XP_019795955.1
XP_019795956.1	XP_019795956.1
XP_019795958.1	XP_019795958.1
XP_019795959.1	XP_019795959.1
XP_019810362.2	XP_019810362.2
XP_019822077.2	XP_019822077.2
XP_019828726.2	XP_019828726.2
XP_019828727.2	XP_019828727.2
XP_019853366.1	XP_019853366.1
XP_019857828.1	XP_019857828.1
XP_019863494.1	XP_019863494.1
XP_019869059.1	XP_019869059.1
XP_019869826.1	XP_019869826.1
XP_019870050.2	XP_019870050.2
XP_019871204.1	XP_019871204.1
XP_019881718.2	XP_019881718.2
XP_019881719.2	XP_019881719.2
XP_019884896.1	XP_019884896.1
XP_019889143.2	XP_019889143.2
XP_019889509.2	XP_019889509.2
XP_019894782.1	XP_019894782.1
XP_019904667.2	XP_019904667.2
XP_019914462.1	XP_019914462.1
XP_019916365.1	XP_019916365.1
XP_019917637.1	XP_019917637.1
XP_019917895.1	XP_019917895.1
XP_019918224.3	XP_019918224.3
XP_019935736.2	XP_019935736.2
XP_019939119.2	XP_019939119.2
XP_019943413.2	XP_019943413.2
XP_019946930.2	XP_019946930.2
XP_019946931.2	XP_019946931.2
XP_019946932.2	XP_019946932.2
XP_019954729.2	XP_019954729.2
XP_019956466.1	XP_019956466.1
XP_019956470.1	XP_019956470.1
XP_019964101.2	XP_019964101.2
XP_020012915.1	XP_020012915.1
XP_020030970.2	XP_020030970.2
XP_020034286.2	XP_020034286.2
XP_020046435.1	XP_020046435.1
XP_020050423.1	XP_020050423.1
XP_020051613.1	XP_020051613.1
XP_020062073.1	XP_020062073.1
XP_020073255.1	XP_020073255.1
XP_020077428.1	XP_020077428.1
XP_020089497.1	XP_020089497.1
XP_020100754.1	XP_020100754.1
XP_020105988.1	XP_020105988.1
XP_020105989.1	XP_020105989.1
XP_020105990.1	XP_020105990.1
XP_020115114.1	XP_020115114.1
XP_020117747.1	XP_020117747.1
XP_020130848.1	XP_020130848.1
XP_020135081.1	XP_020135081.1
XP_020160650.1	XP_020160650.1
XP_020164033.1	XP_020164033.1
XP_020168423.1	XP_020168423.1
XP_020172563.1	XP_020172563.1
XP_020179664.1	XP_020179664.1
XP_020199392.1	XP_020199392.1
XP_020202225.1	XP_020202225.1
XP_020220237.2	XP_020220237.2
XP_020243303.1	XP_020243303.1
XP_020243307.1	XP_020243307.1
XP_020252224.1	XP_020252224.1
XP_020272890.1	XP_020272890.1
XP_020276746.1	XP_020276746.1
XP_020276747.1	XP_020276747.1
XP_020276749.1	XP_020276749.1
XP_020281195.1	XP_020281195.1
XP_020281196.1	XP_020281196.1
XP_020281563.1	XP_020281563.1
XP_020287925.1	XP_020287925.1
XP_020287927.1	XP_020287927.1
XP_020287929.1	XP_020287929.1
XP_020290191.1	XP_020290191.1
XP_020290192.1	XP_020290192.1
XP_020303337.1	XP_020303337.1
XP_020305878.1	XP_020305878.1
XP_020309974.1	XP_020309974.1
XP_020311231.2	XP_020311231.2
XP_020311232.1	XP_020311232.1
XP_020328872.1	XP_020328872.1
XP_020328873.2	XP_020328873.2
XP_020332146.1	XP_020332146.1
XP_020336762.1	XP_020336762.1
XP_020348497.1	XP_020348497.1
XP_020348498.1	XP_020348498.1
XP_020355041.1	XP_020355041.1
XP_020355044.1	XP_020355044.1
XP_020355045.1	XP_020355045.1
XP_020355046.1	XP_020355046.1
XP_020355047.1	XP_020355047.1
XP_020360838.1	XP_020360838.1
XP_020360839.2	XP_020360839.2
XP_020360840.1	XP_020360840.1
XP_020362968.2	XP_020362968.2
XP_020371415.1	XP_020371415.1
XP_020386280.2	XP_020386280.2
XP_020396479.1	XP_020396479.1
XP_020396480.1	XP_020396480.1
XP_020396481.1	XP_020396481.1
XP_020396483.1	XP_020396483.1
XP_020396485.1	XP_020396485.1
XP_020396486.1	XP_020396486.1
XP_020412441.1	XP_020412441.1
XP_020417748.1	XP_020417748.1
XP_020417749.1	XP_020417749.1
XP_020428728.1	XP_020428728.1
XP_020429358.1	XP_020429358.1
XP_020437551.1	XP_020437551.1
XP_020437552.1	XP_020437552.1
XP_020437865.1	XP_020437865.1
XP_020448055.1	XP_020448055.1
XP_020449472.1	XP_020449472.1
XP_020450232.1	XP_020450232.1
XP_020450235.1	XP_020450235.1
XP_020452470.1	XP_020452470.1
XP_020452471.1	XP_020452471.1
XP_020461854.1	XP_020461854.1
XP_020475811.1	XP_020475811.1
XP_020475812.1	XP_020475812.1
XP_020480384.1	XP_020480384.1
XP_020480385.1	XP_020480385.1
XP_020481183.1	XP_020481183.1
XP_020481315.2	XP_020481315.2
XP_020490197.2	XP_020490197.2
XP_020490198.2	XP_020490198.2
XP_020494246.3	XP_020494246.3
XP_020498830.2	XP_020498830.2
XP_020498831.2	XP_020498831.2
XP_020507047.1	XP_020507047.1
XP_020509278.1	XP_020509278.1
XP_020514865.2	XP_020514865.2
XP_020523177.1	XP_020523177.1
XP_020524035.1	XP_020524035.1
XP_020528504.1	XP_020528504.1
XP_020528506.1	XP_020528506.1
XP_020528507.1	XP_020528507.1
XP_020528508.1	XP_020528508.1
XP_020528515.1	XP_020528515.1
XP_020528516.1	XP_020528516.1
XP_020528519.1	XP_020528519.1
XP_020528520.1	XP_020528520.1
XP_020541230.1	XP_020541230.1
XP_020558215.1	XP_020558215.1
XP_020561637.1	XP_020561637.1
XP_020561638.1	XP_020561638.1
XP_020571077.1	XP_020571077.1
XP_020571078.1	XP_020571078.1
XP_020571079.1	XP_020571079.1
XP_020580324.1	XP_020580324.1
XP_020580333.1	XP_020580333.1
XP_020589751.1	XP_020589751.1
XP_020589752.1	XP_020589752.1
XP_020597048.1	XP_020597048.1
XP_020611547.1	XP_020611547.1
XP_020619589.1	XP_020619589.1
XP_020622487.1	XP_020622487.1
XP_020622750.1	XP_020622750.1
XP_020622751.1	XP_020622751.1
XP_020622752.1	XP_020622752.1
XP_020622821.1	XP_020622821.1
XP_020631266.1	XP_020631266.1
XP_020632744.1	XP_020632744.1
XP_020632745.1	XP_020632745.1
XP_020632795.1	XP_020632795.1
XP_020632796.1	XP_020632796.1
XP_020639372.3	XP_020639372.3
XP_020643741.3	XP_020643741.3
XP_020651245.3	XP_020651245.3
XP_020651246.3	XP_020651246.3
XP_020651248.3	XP_020651248.3
XP_020653029.3	XP_020653029.3
XP_020656527.3	XP_020656527.3
XP_020661480.3	XP_020661480.3
XP_020693678.1	XP_020693678.1
XP_020693679.1	XP_020693679.1
XP_020700332.1	XP_020700332.1
XP_020704577.1	XP_020704577.1
XP_020704686.1	XP_020704686.1
XP_020704687.1	XP_020704687.1
XP_020705116.1	XP_020705116.1
XP_020712232.2	XP_020712232.2
XP_020720578.2	XP_020720578.2
XP_020727103.2	XP_020727103.2
XP_020727104.2	XP_020727104.2
XP_020727105.2	XP_020727105.2
XP_020727106.2	XP_020727106.2
XP_020727107.2	XP_020727107.2
XP_020727108.2	XP_020727108.2
XP_020727109.2	XP_020727109.2
XP_020755184.2	XP_020755184.2
XP_020755964.2	XP_020755964.2
XP_020765640.2	XP_020765640.2
XP_020765641.2	XP_020765641.2
XP_020770246.1	XP_020770246.1
XP_020770253.1	XP_020770253.1
XP_020771126.2	XP_020771126.2
XP_020771128.2	XP_020771128.2
XP_020771129.2	XP_020771129.2
XP_020776572.1	XP_020776572.1
XP_020779939.2	XP_020779939.2
XP_020793126.1	XP_020793126.1
XP_020797275.2	XP_020797275.2
XP_020799446.1	XP_020799446.1
XP_020801764.1	XP_020801764.1
XP_020805629.1	XP_020805629.1
XP_020808184.1	XP_020808184.1
XP_020812996.1	XP_020812996.1
XP_020813312.1	XP_020813312.1
XP_020816706.1	XP_020816706.1
XP_020824083.1	XP_020824083.1
XP_020840801.2	XP_020840801.2
XP_020840802.2	XP_020840802.2
XP_020840803.2	XP_020840803.2
XP_020843438.1	XP_020843438.1
XP_020843440.1	XP_020843440.1
XP_020843441.1	XP_020843441.1
XP_020843442.1	XP_020843442.1
XP_020843443.1	XP_020843443.1
XP_020843444.1	XP_020843444.1
XP_020846167.1	XP_020846167.1
XP_020854055.1	XP_020854055.1
XP_020854057.1	XP_020854057.1
XP_020854058.1	XP_020854058.1
XP_020860085.1	XP_020860085.1
XP_020879832.1	XP_020879832.1
XP_020880433.1	XP_020880433.1
XP_020880434.1	XP_020880434.1
XP_020897480.1	XP_020897480.1
XP_020897481.1	XP_020897481.1
XP_020898328.2	XP_020898328.2
XP_020907289.1	XP_020907289.1
XP_020913012.1	XP_020913012.1
XP_020917669.1	XP_020917669.1
XP_020917678.1	XP_020917678.1
XP_020932301.2	XP_020932301.2
XP_020932302.2	XP_020932302.2
XP_020940147.1	XP_020940147.1
XP_020949875.1	XP_020949875.1
XP_020952293.2	XP_020952293.2
XP_020952294.2	XP_020952294.2
XP_020952295.2	XP_020952295.2
XP_020952296.2	XP_020952296.2
XP_020952297.2	XP_020952297.2
XP_020952298.2	XP_020952298.2
XP_020952299.2	XP_020952299.2
XP_020952300.2	XP_020952300.2
XP_020952301.2	XP_020952301.2
XP_020952302.2	XP_020952302.2
XP_020952303.2	XP_020952303.2
XP_020952304.2	XP_020952304.2
XP_021006193.1	XP_021006193.1
XP_021008166.1	XP_021008166.1
XP_021008168.1	XP_021008168.1
XP_021010302.1	XP_021010302.1
XP_021015375.1	XP_021015375.1
XP_021015378.1	XP_021015378.1
XP_021015379.1	XP_021015379.1
XP_021025428.1	XP_021025428.1
XP_021025429.1	XP_021025429.1
XP_021036674.1	XP_021036674.1
XP_021036676.1	XP_021036676.1
XP_021046891.1	XP_021046891.1
XP_021063975.1	XP_021063975.1
XP_021063976.1	XP_021063976.1
XP_021064053.2	XP_021064053.2
XP_021064054.2	XP_021064054.2
XP_021070668.1	XP_021070668.1
XP_021071067.1	XP_021071067.1
XP_021075945.1	XP_021075945.1
XP_021075946.1	XP_021075946.1
XP_021075949.1	XP_021075949.1
XP_021078959.1	XP_021078959.1
XP_021091233.1	XP_021091233.1
XP_021097660.1	XP_021097660.1
XP_021097661.1	XP_021097661.1
XP_021098218.1	XP_021098218.1
XP_021098222.1	XP_021098222.1
XP_021098223.1	XP_021098223.1
XP_021098224.1	XP_021098224.1
XP_021098225.1	XP_021098225.1
XP_021098226.1	XP_021098226.1
XP_021098227.1	XP_021098227.1
XP_021103629.1	XP_021103629.1
XP_021103631.1	XP_021103631.1
XP_021103632.1	XP_021103632.1
XP_021114256.1	XP_021114256.1
